address;lon;lat;CnpjBase;CnpjSequencial;CnpjDv;NomeIf;Segmento;CodigoCompe;NomeAgencia;Endereco;Numero;Complemento;Bairro;Cep;MunicipioIbge;Municipio;UF;DataInicio;DDD;Telefone;Posicao;endereco_completo
Avenida Adolfo Pinheiro, Santo Amaro, São Paulo, 04734-004;-46.693280657338946;-23.63450852402995;60701190;3554;92;ITAÚ UNIBANCO S.A.;Banco Múltiplo;8552.0;SP / NOVA ADOLFO PINHEIRO;AVENIDA ADOLFO PINHEIRO, Nº 2.124;;PARTE;SANTO AMARO;04734-004;3550308;SAO PAULO;SP;19/10/2009;11.0;30034828.0;28/12/2021;AVENIDA ADOLFO PINHEIRO, Nº 2.124, , SANTO AMARO, 04734-004, SAO PAULO
Largo Santa Cecília 124, Santa Cecília, São Paulo, 01225-010;-46.64972000133699;-23.53873000179358;60701190;3592;18;ITAÚ UNIBANCO S.A.;Banco Múltiplo;9102.0;SP/LARGO SANTA CECILIA;LARGO SANTA CECILIA, 124;;PARTE;VILA BUARQUE;01225-010;3550308;SAO PAULO;SP;26/10/2009;11.0;30034828.0;28/12/2021;LARGO SANTA CECILIA, 124, , VILA BUARQUE, 01225-010, SAO PAULO
Rua Serra de Japi 953, Tatuapé, São Paulo, 03309-000;-46.56837002680095;-23.547679988456736;60701190;206;36;ITAÚ UNIBANCO S.A.;Banco Múltiplo;138.0;SAO PAULO/V.GOMES CARDIM;RUA SERRA DO JAPI, 953;;PARTE;V.GOMES CARDIM;03309-000;3550308;SAO PAULO;SP;01/06/1967;11.0;30034828.0;28/12/2021;RUA SERRA DO JAPI, 953, , V.GOMES CARDIM, 03309-000, SAO PAULO
Avenida Angélica 1596, Consolação, São Paulo, 01227-100;-46.658310027168284;-23.546659994659322;60701190;4474;27;ITAÚ UNIBANCO S.A.;Banco Múltiplo;9097.0;PERSONNALITE/PRAÇA BUENOS AIRES;AV. ANGELICA, 1596;;PARTE;HIGIENÓPOLIS;01228-100;3550308;SAO PAULO;SP;18/07/2011;11.0;30034828.0;28/12/2021;AV. ANGELICA, 1596, , HIGIENÓPOLIS, 01228-100, SAO PAULO
Rua Clélia 1066, Lapa, São Paulo, 05042-000;-46.692689995603956;-23.52489998728265;60701190;4540;40;ITAÚ UNIBANCO S.A.;Banco Múltiplo;9265.0;PERSONALITÉ CLÉLIA;RUA CLELIA, 1066;;PARTE;AGUA BRANCA;05042-000;3550308;SAO PAULO;SP;07/11/2011;11.0;30034828.0;28/12/2021;RUA CLELIA, 1066, , AGUA BRANCA, 05042-000, SAO PAULO
Avenida dos Tajurás, Morumbi, São Paulo, 05670-000;-46.69349160223816;-23.58673099150326;60701190;4775;4;ITAÚ UNIBANCO S.A.;Banco Múltiplo;9671.0;PERSONNALITÉ-ALFREDO VOLPI;AVENIDA DOS TAJURÁS;;;CIDADE JARDIM;05670-000;3550308;SAO PAULO;SP;27/12/2013;11.0;30034828.0;28/12/2021;AVENIDA DOS TAJURÁS, , CIDADE JARDIM, 05670-000, SAO PAULO
Rua Boa Vista 236, Sé, São Paulo, 01014-001;-46.63347998011554;-23.545529988382725;60746948;3621;3;BANCO BRADESCO S.A.;Banco Múltiplo;1628.0;RUA BOA VISTA, URB. SAO PAULO, SP;RUA BOA VISTA, 236;;;CENTRO;01014-000;3550308;SAO PAULO;SP;25/02/2004;11.0;32936000.0;28/12/2021;RUA BOA VISTA, 236, , CENTRO, 01014-000, SAO PAULO
Rua Iguatemi, Itaim Bibi, São Paulo, 01451-011;-46.68240896627628;-23.584334803144664;329598;1;67;ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Sociedade Distribuidora de TVM;;MATRIZ;RUA IGUATEMI;;25º ANDAR - CONJUNTO 254;ITAIM BIBI;01451-010;3550308;SAO PAULO;SP;17/03/2014;11.0;31130060.0;28/12/2021;RUA IGUATEMI, , ITAIM BIBI, 01451-010, SAO PAULO
Rua Cardoso de Almeida, Perdizes, São Paulo, 05013-001;-46.6699920939354;-23.540061232603627;60701190;2201;39;ITAÚ UNIBANCO S.A.;Banco Múltiplo;4091.0;PERSONNALITÉ SUMARÉ;RUA CARDOSO DE ALMEIDA;;PARTE;PERDIZES;05013-001;3550308;SAO PAULO;SP;22/03/2004;11.0;30034828.0;28/12/2021;RUA CARDOSO DE ALMEIDA, , PERDIZES, 05013-001, SAO PAULO
Rua Boa Vista 176, Sé, São Paulo, 01014-001;-46.633379984010645;-23.54601999444236;60746948;3611;31;BANCO BRADESCO S.A.;Banco Múltiplo;3245.0;PRIME RUA BOA VISTA,URB.SAO PAULO, SP;RUA BOA VISTA;176;TÉRREO;CENTRO;01014-000;3550308;SAO PAULO;SP;25/02/2004;11.0;32931900.0;28/12/2021;RUA BOA VISTA, 176, CENTRO, 01014-000, SAO PAULO
Alameda dos Arapanés 1315, Moema, São Paulo, 04524-002;-46.668299998467916;-23.60828001685826;60701190;4713;1;ITAÚ UNIBANCO S.A.;Banco Múltiplo;9694.0;PERSONNALITÉ AL ARAPANES;ALAMEDA DOS ARAPANES;1315;;MOEMA;04524-002;3550308;SAO PAULO;SP;26/09/2012;11.0;30034828.0;28/12/2021;ALAMEDA DOS ARAPANES, 1315, MOEMA, 04524-002, SAO PAULO
Avenida Brigadeiro Faria Lima 2613, Pinheiros, São Paulo, 01452-000;-46.68540000295519;-23.579180018780377;17343682;3;8;PENTAGONO S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS;Sociedade Distribuidora de TVM;;PENTAGONO S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS;AVENIDA BRIGADEIRO FARIA LIMA;2613;10º ANDAR - CONJUNTO 101;JARDIM PAULISTANO;01451-000;3550308;SAO PAULO;SP;14/08/2017;21.0;33854565.0;28/12/2021;AVENIDA BRIGADEIRO FARIA LIMA, 2613, JARDIM PAULISTANO, 01451-000, SAO PAULO
