"CnpjBase","CnpjSequencial","CnpjDv","NomeIf","Segmento","CodigoCompe","NomeAgencia","Endereco","Numero","Complemento","Bairro","Cep","MunicipioIbge","Municipio","UF","DataInicio","DDD","Telefone","Posicao"
40434681,1,10,"AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.","Sociedade Distribuidora de TVM","null","MATRIZ","RUA RUBENS GOMES BUENO, Nº 691","","TORRE ALPHA - CONJUNTO 131","VARZEA DE BAIXO","04730-903",3550308,"SAO PAULO","SP","22/04/2021","null","null","28/12/2021"
90400888,2386,37,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","03560","SP-BRIGADEIRO FARIA LIMA","AV.BRIG.FARIA LIMA, 2006","","","JARDIM PAULISTANO","01451-000",3550308,"SAO PAULO","SP","30/04/2009","11","338566000","28/12/2021"
90400888,2387,18,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04759","001-4759 URB-SP-PCA.CHARLES MILLER","PCA CHARLES MILLER","","","PACAEMBU","01234-010",3550308,"SAO PAULO","SP","30/04/2009","11","38792400","28/12/2021"
90400888,2388,7,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04773","001-4773 URB-SP-MARIA MARCOLINA","PRACA EDUARDO RUDGE","","","PARI","03028-010",3550308,"SAO PAULO","SP","30/04/2009","11","27990600","28/12/2021"
90400888,1538,1,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04776","ALTOS DA ANGELICA SP-SP","AVENIDA ANGELICA,","","","CONSOLACAO","01228-200",3550308,"SAO PAULO","SP","30/04/2009","11","31225700","28/12/2021"
90400888,2390,13,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","03991","SP-LIMAO","PRACA MARCO ANTONIO PRIMON MAESTRE, 250","","","LIMAO","02710-030",3550308,"SAO PAULO","SP","30/04/2009","11","38552700","28/12/2021"
90400888,2396,9,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04281","SAO MIGUEL PTA-SP-SP","AVENIDA MARECHAL TITO, 687","","","SAO MIGUEL PAULISTA","08010-090",3550308,"SAO PAULO","SP","30/04/2009","11","20266350","28/12/2021"
90400888,2405,34,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","03927","R PAVAO-SP-SP","RUA PAVAO, 505 / 515","","","INDIANOPOLIS","45160-110",3550308,"SAO PAULO","SP","30/04/2009","11","50427300","28/12/2021"
60746948,5772,23,"BANCO BRADESCO S.A.","Banco Múltiplo","02883","JAGUARE, URB. SAO PAULO, SP","AVENIDA PRESIDENTE ALTINO","","","JAGUARE","05323-001",3550308,"SAO PAULO","SP","25/03/1999","11","37687900","28/12/2021"
90400888,2433,98,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00836","001-0836 AV CRUZEIRO DO SUL-CAP-SP","AV CRUZEIRO DO SUL, 248","","","CANINDE","03033-020",3550308,"SAO PAULO","SP","22/04/2009","11","33122850","28/12/2021"
90400888,2437,11,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00834","001-0834 NICOLAU GAGLIARDI-CAP-SP","AV PEDROSO DE MORAIS","","","PINHEIROS","05420-002",3550308,"SAO PAULO","SP","22/04/2009","11","30307050","28/12/2021"
90400888,2442,89,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00833","001-0833 R DA QUITANDA-CAP-SP","R DA QUITANDA, 89-93","","","CENTRO","01012-010",3550308,"SAO PAULO","SP","22/04/2009","11","32929755","28/12/2021"
90400888,2511,45,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00941","001-0941 REAL PARQUE-CAP-SP","AV MORUMBI 6885","","","MORUMBI","05650-002",3550308,"SAO PAULO","SP","30/07/2010","11","37555350","28/12/2021"
90400888,2746,9,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","01634","001-1634 CAPAO REDONDO-SP-SP","EST DE ITAPECERICA ,3848","","","VILA PREL","05835-004",3550308,"SAO PAULO","SP","28/12/2011","11","55103300","28/12/2021"
90400888,2506,88,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00918","AV DOS TAJURAS-CAP-SP","AV DOS TAJURAS, 350","","","CIDADE JARDIM","05670-000",3550308,"SAO PAULO","SP","17/06/2011","11","30394900","28/12/2021"
90400888,2507,69,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00919","001-0919 AV PRES ALTINO-SP-SP","AVENIDA PRES ALTINO","","837 / 839 / 843 / 845 / 849 / 853 / 855","JAGUARÉ","05323-002",3550308,"SAO PAULO","SP","25/04/2011","11","37161550","28/12/2021"
90400888,2508,40,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00921","001-0921 C MOREIRA BARROS-CAP-SP","RUA CONSELHEIRO MOREIRA DE BARROS, 761","","","SANTANA","02018-012",3550308,"SAO PAULO","SP","03/09/2010","21","22811850","28/12/2021"
90400888,2510,64,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00935","001-0935 ALTO DE SANTANA-CAP-SP","R VOLUNTARIOS DA PATRIA 3998/4006","","","SANTANA","02402-500",3550308,"SAO PAULO","SP","23/07/2010","11","22812650","28/12/2021"
90400888,2527,2,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00986","001-0986 KLABIN-IMIGRANTES-SP-SP","R VERGUEIRO,4600","","","VILA MARIANA","04102-002",3550308,"SAO PAULO","SP","14/09/2011","11","50809600","28/12/2021"
90400888,2528,93,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00982","001-0982 R ZILDA-CAP-SP","R ZILDA 578 / 582","","","CASA VERDE ALTA","02545-000",3550308,"SAO PAULO","SP","20/12/2010","11","38551300","28/12/2021"
90400888,2532,70,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00994","001-0994 VL CONGONHAS-SP-SP","AV WASHINGTON LUIS, 6831","","","SANTO AMARO","04627-005",3550308,"SAO PAULO","SP","27/12/2012","11","50902050","28/12/2021"
90400888,2533,50,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00996","001-0996 ABRAAO DE MORAIS-CAP-SP","AV PROF ABRAAO DE MORAIS 2177 / 2183","","","SAÚDE","04123-011",3550308,"SAO PAULO","SP","29/11/2010","11","50671850","28/12/2021"
90400888,2556,47,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00997","001-0997 SAO JOAQUIM-SP-SP","AV DA LIBERDADE, 937","","947","LIBERDADE","01503-001",3550308,"SAO PAULO","SP","28/10/2011","11","30193500","28/12/2021"
