address;lon;lat
Rua Joaquim Floriano 466, Itaim Bibi, São Paulo, 04534-002;-46.67459003006786;-23.584459989138168
Avenida Doutor Gastão Vidigal 1437, Vila Leopoldina, São Paulo, 05314-000;-46.7374099636159;-23.530210006763326
Avenida Paulista 1000, Bela Vista, São Paulo, 01310-100;-46.65205000278169;-23.564879989048876
Rua Heitor Penteado 1010, Perdizes, São Paulo, 05438-000;-46.6884899915608;-23.5473800001421
Avenida Presidente Juscelino Kubitschek 1830, Itaim Bibi, São Paulo, 04543-000;-46.68667002892431;-23.59098002016124
Avenida Corifeu de Azevedo Marques 4070, Butantã, São Paulo, 05339-002;-46.74671252876314;-23.56223153962542
Rua Teodoro Sampaio 429, Pinheiros, São Paulo, 05406-100;-46.68396788599047;-23.561509445239388
Rua Vieira de Morais 900, Campo Belo, São Paulo, 04617-002;-46.673120011888955;-23.621130019249918
Estrada do M Boi Mirim 909, Jardim São Luís, São Paulo, 04904;-46.741439982662655;-23.671960017491116
Avenida Cásper Líbero 63, República, São Paulo, 01207-010;-46.63687004085483;-23.540940016294343
Avenida do Cursino 2957, Cursino, São Paulo, 04132-002;-46.619069979814384;-23.627529979510015
Rua Silva Teles 60, Brás, São Paulo, 03026-000;-46.61603151221235;-23.535568882398994
Avenida Brigadeiro Faria Lima, Pinheiros, São Paulo, 01452-000;-46.68775988588472;-23.575614964857515
Rua Serra de Bragança 1856, Tatuapé, São Paulo, 03318-000;-46.55731541700785;-23.54285171170146
Rua Riachuelo 33, Sé, São Paulo, 01007-000;-46.63573001820396;-23.551120005338973
Avenida Higienópolis 462, Consolação, São Paulo, 01238-000;-46.656199966862886;-23.543700009371946
Avenida Higienópolis 462, Consolação, São Paulo, 01238-000;-46.656199966862886;-23.543700009371946
Rua Silva Bueno 1999, Ipiranga, São Paulo, 04208-052;-46.60071998210657;-23.59615999441415
Avenida Bernardino de Campos 98, Vila Mariana, São Paulo, 04004-040;-46.64321002859771;-23.572420013869376
Avenida Paulista 1450, Bela Vista, São Paulo, 01310-100;-46.65516002413591;-23.5623499953944
Rua Silva Bueno 2373, Ipiranga, São Paulo, 04208-053;-46.6004500010053;-23.599520006030573
Avenida Brigadeiro Luís Antônio 1030, Bela Vista, São Paulo, 01317-001;-46.64190002095043;-23.558579982984156
Rua da Consolação 2279, Consolação, São Paulo, 01301-100;-46.661409990238695;-23.55471999084331
Avenida Paes de Barros 242, Móoca, São Paulo, 03114-000;-46.60050497552203;-23.557678845525878
Rua das Palmeiras 455, Santa Cecília, São Paulo, 01226-011;-46.65273111644083;-23.536280591799972
Avenida Ragueb Chohfi, Iguatemi, São Paulo, 08375-000;-46.442969924045244;-23.594729957913387
Rua dos Gusmões 343, República, São Paulo, 01212-001;-46.63953003782757;-23.53728001636327
Rua Cardoso de Almeida 1440, Perdizes, São Paulo, 05013-001;-46.67213002530491;-23.542509988668613
Rua da Mooca 2147, Móoca, São Paulo, 03104-002;-46.60431003505565;-23.555010004693187
Avenida do Anastácio 271, São Domingos, São Paulo, 05119-000;-46.733610027811295;-23.505970003784626
Avenida Nova Cantareira 857, Santana, São Paulo, 02331-001;-46.61732998053418;-23.486340005642887
Avenida Ipiranga, República, São Paulo, 01046-010;-46.64400522415436;-23.545383552421665
Rua Doutor Renato Paes de Barros 1017, Itaim Bibi, São Paulo, 04530-001;-46.67223999587458;-23.58765999022296
Rua Augusta, Consolação, São Paulo, 01304-001;-46.65583179689081;-23.553969144460453
