CnpjBase,CnpjSequencial,CnpjDv,NomeIf,Segmento,CodigoCompe,NomeAgencia,Endereco,Numero,Complemento,Bairro,Cep,MunicipioIbge,Municipio,UF,DataInicio,DDD,Telefone,Posicao
92702067,0478,26,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,Banco Múltiplo,00518,BORGUETTI,AV. FLORES DA CUNHA,1100,,BORGUETTI,99500-000,4304705,CARAZINHO,RS,24/10/2001,54,33314379,28/12/2021
90400888,0775,28,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,02073,ANTILHAS-SP-SP,RUA AUGUSTA,129,LJ / SLJ,CERQUEIRA CESAR,01413-100,3550308,SAO PAULO,SP,31/08/2006,11,30626366,28/12/2021
90400888,0013,86,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,01013,001-1013 BORGES DE MEDEIROS - PORTO ALEGRE RS,RUA SETE DE SETEMBRO,0388,CENTRO,CENTRO,90010-191,4314902,PORTO ALEGRE,RS,12/08/1985,51,32248177,28/12/2021
90400888,0703,53,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,02128,001 2128 R ALVARES CABRAL I-INT-SP,R SAO SEBASTIAO,,,CENTRO,14015-040,3543402,RIBEIRAO PRETO,SP,31/08/2006,16,39611733,28/12/2021
60746948,3214,23,BANCO BRADESCO S.A.,Banco Múltiplo,03742,"CANUTAMA, AM",RUA FLORIANO PEIXOTO,217,,CENTRO,69820-000,1300904,CANUTAMA,AM,10/06/2002,97,33341325,28/12/2021
00360305,3852,27,CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,03852,"NOSSA SENHORA DE FATIMA, SP",AVENIDA NOSSA SENHORA DE FATIMA NUM 497,,,CHICO DE PAULA,11085-203,3548500,SANTOS,SP,24/08/2012,11,32098500,28/12/2021
60746948,0570,68,BANCO BRADESCO S.A.,Banco Múltiplo,00457,JI PARANA  CENTRO  RO,AVENIDA MARECHAL RONDON,385,,CENTRO,76900-027,1100122,JI-PARANA,RO,17/03/1975,69,34221986,28/12/2021
30183111,0001,41,TURMA CORRETORA DE CÂMBIO LTDA,Sociedade Corretora de Câmbio,null,MATRIZ,"RUA BENTO MARTINS, 2667",,LOJA 2B,CENTRO,97510-001,4322400,URUGUAIANA,RS,01/08/2018,55,34121909,28/12/2021
90400888,3184,01,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,01165,001 1165 GASPAR-SC,R DUQUE DE CAXIAS,,"SL 4, 5 E 6",CENTRO,89110-052,4205902,GASPAR,SC,01/07/2020,47,32348701,28/12/2021
90400888,1398,17,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,04645,001-4645 URB - SUMARE - PÇA. BANDEIRAS,R DOM BARRETO,0800,,CENTRO,13170-002,3552403,SUMARE,SP,30/04/2009,19,38031350,28/12/2021
00360305,0174,22,CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,00174,"NITEROI, RJ","AVENIDA ERNANI DO AMARAL PEIXOTO, N 335",,,CENTRO,24020-072,3303302,NITEROI,RJ,24/12/1927,21,22024400,28/12/2021
11703662,0001,44,TRAVELEX BANCO DE CÂMBIO S.A.,Banco de Câmbio,null,MATRIZ,AV ENG. LUIZ CARLOS BERRINI,,5º ANDAR - CONJS 51 E 52 - EDIFÍCIO BERRINI ONE,CIDADE MONÇÕES,04571-010,3550308,SAO PAULO,SP,01/03/2016,11,36141100,28/12/2021
00360305,0004,57,CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,00004,"BERNARDO SAYAO, DF","CRS 504, BLC A, LOJAS 64/65",,,ASA SUL,70331-515,5300108,BRASILIA,DF,02/08/1960,61,45011000,28/12/2021
00360305,3130,72,CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,03130,"BOEHMERWALD, SC",AVENIDA PAULO SCHROEDER NUM 1606,,,BOEHMERWALD,89232-301,4209102,JOINVILLE,SC,03/10/2005,47,4515569,28/12/2021
58160789,0025,03,BANCO SAFRA S.A.,Banco Múltiplo,00138,BARRA,"AVENIDA DAS AMÉRICAS, BLOCO 2,LOJAS A/B",,SALAS 302 A 305,BARRA DA TIJUCA,22640-102,3304557,RIO DE JANEIRO,RJ,09/10/2000,21,21228100,28/12/2021
