codigo_distrito;ano;faixa_etaria;homens;mulheres;total
80028;2021;20 a 24;4.751;4.537;9288
80028;2021;25 a 29;4.676;4.705;9381
80028;2021;30 a 34;4.842;5.156;9998
80028;2021;35 a 39;4.819;5.262;10081
80028;2021;40 a 44;4.399;4.931;9330
80028;2021;45 a 49;3.986;4.373;8359
80028;2021;50 a 54;3.655;4.009;7664
80028;2021;55 a 59;3.045;3.614;6659
80028;2021;60 a 64;2.513;3.177;5690
80028;2021;65 a 69;1.984;2.570;4554
80028;2021;70 a 74;1.367;1.764;3131
80028;2021;75 e +;1.340;2.197;3537
80029;2021;00 a 04;4.222;4.038;8260
80029;2021;05 a 09;4.512;4.319;8831
80029;2021;10 a 14;3.767;3.630;7397
80029;2021;15 a 19;3.900;3.826;7726
80029;2021;20 a 24;4.879;4.699;9578
80029;2021;25 a 29;4.940;4.934;9874
80029;2021;30 a 34;5.418;5.550;10968
80029;2021;35 a 39;5.654;6.168;11822
80029;2021;40 a 44;5.345;5.896;11241
80029;2021;45 a 49;4.550;5.273;9823
80029;2021;50 a 54;4.158;4.958;9116
80029;2021;55 a 59;4.005;4.887;8892
80029;2021;60 a 64;3.679;4.727;8406
80029;2021;65 a 69;2.806;3.860;6666
80029;2021;70 a 74;1.922;2.900;4822
80029;2021;75 e +;2.228;4.320;6548
80030;2021;00 a 04;15.384;14.672;30056
80030;2021;05 a 09;15.676;14.968;30644
80030;2021;10 a 14;13.651;13.116;26767
80030;2021;15 a 19;14.744;14.196;28940
80030;2021;20 a 24;17.606;17.456;35062
80030;2021;25 a 29;16.825;17.359;34184
80030;2021;30 a 34;16.362;16.870;33232
80030;2021;35 a 39;15.580;16.948;32528
80030;2021;40 a 44;14.039;15.752;29791
80030;2021;45 a 49;12.484;14.051;26535
80030;2021;50 a 54;11.241;12.736;23977
80030;2021;55 a 59;9.084;10.658;19742
80030;2021;60 a 64;7.065;8.642;15707
80030;2021;65 a 69;5.123;6.317;11440
80030;2021;70 a 74;3.243;4.300;7543
80030;2021;75 e +;2.570;4.016;6586
80031;2021;00 a 04;4.294;4.095;8389
80031;2021;05 a 09;4.337;4.140;8477
80031;2021;10 a 14;3.760;3.604;7364
80031;2021;15 a 19;4.066;3.934;8000
80031;2021;20 a 24;4.786;4.772;9558
80031;2021;25 a 29;4.852;4.784;9636
80031;2021;30 a 34;4.544;4.740;9284
80031;2021;35 a 39;4.280;4.647;8927
80031;2021;40 a 44;3.944;4.287;8231
80031;2021;45 a 49;3.451;3.848;7299
80031;2021;50 a 54;3.070;3.513;6583
80031;2021;55 a 59;2.525;3.020;5545
80031;2021;60 a 64;2.043;2.602;4645
80031;2021;65 a 69;1.545;2.030;3575
80031;2021;70 a 74;1.009;1.383;2392
80031;2021;75 e +;900;1.556;2456
80032;2021;00 a 04;1.848;1.762;3610
80032;2021;05 a 09;2.119;2.022;4141
80032;2021;10 a 14;2.034;1.958;3992
80032;2021;15 a 19;1.863;1.761;3624
80032;2021;20 a 24;1.976;1.922;3898
80032;2021;25 a 29;2.119;2.228;4347
80032;2021;30 a 34;2.586;3.037;5623
80032;2021;35 a 39;3.389;4.112;7501
80032;2021;40 a 44;3.858;4.690;8548
80032;2021;45 a 49;3.539;4.229;7768
80032;2021;50 a 54;3.022;3.492;6514
80032;2021;55 a 59;2.876;3.561;6437
80032;2021;60 a 64;2.724;3.525;6249
80032;2021;65 a 69;2.485;3.269;5754
80032;2021;70 a 74;2.038;2.615;4653
